[1705928961.2864857] Voltage: 4.98V, Current: 396.50mA, Power: 1976.02mW
[1705928961.3351595] Voltage: 4.99V, Current: 387.80mA, Power: 1934.67mW
[1705928961.38431] Voltage: 4.99V, Current: 386.60mA, Power: 1929.19mW
[1705928961.4373252] Voltage: 4.99V, Current: 393.40mA, Power: 1962.13mW
[1705928961.4864655] Voltage: 4.99V, Current: 383.90mA, Power: 1914.38mW
[1705928961.535722] Voltage: 4.98V, Current: 383.80mA, Power: 1912.25mW
[1705928961.5854008] Voltage: 4.99V, Current: 387.00mA, Power: 1929.84mW
[1705928961.6341798] Voltage: 4.99V, Current: 404.80mA, Power: 2018.47mW
[1705928961.6870337] Voltage: 4.99V, Current: 394.40mA, Power: 1966.96mW
[1705928961.7364306] Voltage: 4.99V, Current: 433.50mA, Power: 2161.72mW
[1705928961.7856932] Voltage: 4.99V, Current: 393.00mA, Power: 1959.99mW
[1705928961.834849] Voltage: 4.99V, Current: 435.70mA, Power: 2172.94mW
[1705928961.8840187] Voltage: 4.98V, Current: 399.10mA, Power: 1988.39mW
[1705928961.9371867] Voltage: 4.99V, Current: 393.30mA, Power: 1961.63mW
[1705928961.9862115] Voltage: 4.98V, Current: 383.00mA, Power: 1908.37mW
[1705928962.035393] Voltage: 4.99V, Current: 390.70mA, Power: 1948.07mW
[1705928962.0845702] Voltage: 4.99V, Current: 393.50mA, Power: 1962.12mW
[1705928962.137835] Voltage: 4.99V, Current: 392.70mA, Power: 1958.23mW
[1705928962.1873758] Voltage: 4.99V, Current: 393.50mA, Power: 1962.23mW
[1705928962.2367465] Voltage: 4.98V, Current: 390.80mA, Power: 1945.44mW
[1705928962.2854507] Voltage: 4.98V, Current: 400.70mA, Power: 1995.09mW
[1705928962.3344622] Voltage: 4.99V, Current: 385.20mA, Power: 1920.86mW
[1705928962.3877697] Voltage: 4.99V, Current: 401.80mA, Power: 2003.57mW
[1705928962.4369245] Voltage: 4.98V, Current: 396.40mA, Power: 1975.84mW
[1705928962.4861627] Voltage: 4.98V, Current: 431.60mA, Power: 2150.64mW
[1705928962.5349734] Voltage: 4.99V, Current: 417.10mA, Power: 2081.82mW
[1705928962.5843728] Voltage: 4.98V, Current: 383.80mA, Power: 1910.83mW
[1705928962.637479] Voltage: 4.98V, Current: 380.90mA, Power: 1897.82mW
[1705928962.6866887] Voltage: 4.99V, Current: 388.10mA, Power: 1935.72mW
[1705928962.735935] Voltage: 4.97V, Current: 392.50mA, Power: 1951.24mW
[1705928962.7849894] Voltage: 4.98V, Current: 389.50mA, Power: 1940.59mW
[1705928962.8381867] Voltage: 4.99V, Current: 384.10mA, Power: 1915.30mW
[1705928962.8874516] Voltage: 4.99V, Current: 409.70mA, Power: 2043.21mW
[1705928962.9366002] Voltage: 4.99V, Current: 379.20mA, Power: 1890.85mW
[1705928962.9857807] Voltage: 4.98V, Current: 384.40mA, Power: 1915.25mW
[1705928963.0347445] Voltage: 4.99V, Current: 394.40mA, Power: 1966.60mW
[1705928963.0880034] Voltage: 4.99V, Current: 402.50mA, Power: 2007.40mW
[1705928963.1371334] Voltage: 4.98V, Current: 406.20mA, Power: 2024.30mW
[1705928963.1864438] Voltage: 4.98V, Current: 417.70mA, Power: 2081.94mW
[1705928963.2356067] Voltage: 4.98V, Current: 414.10mA, Power: 2061.88mW
[1705928963.284638] Voltage: 4.98V, Current: 391.50mA, Power: 1950.31mW
[1705928963.338078] Voltage: 4.99V, Current: 398.10mA, Power: 1985.06mW
[1705928963.3872771] Voltage: 4.98V, Current: 386.20mA, Power: 1922.79mW
[1705928963.4362848] Voltage: 4.98V, Current: 400.20mA, Power: 1994.18mW
[1705928963.4854674] Voltage: 4.98V, Current: 404.60mA, Power: 2014.61mW
[1705928963.5386775] Voltage: 4.98V, Current: 381.10mA, Power: 1899.39mW
[1705928963.587745] Voltage: 4.98V, Current: 382.70mA, Power: 1906.78mW
[1705928963.636836] Voltage: 4.99V, Current: 380.80mA, Power: 1898.80mW
[1705928963.6860747] Voltage: 4.98V, Current: 396.40mA, Power: 1973.05mW
[1705928963.7353358] Voltage: 4.99V, Current: 403.80mA, Power: 2013.92mW
[1705928963.7885325] Voltage: 4.99V, Current: 394.80mA, Power: 1968.08mW
[1705928963.8378286] Voltage: 4.99V, Current: 396.50mA, Power: 1977.73mW
[1705928963.8868604] Voltage: 4.98V, Current: 433.90mA, Power: 2162.61mW
[1705928963.9358444] Voltage: 4.97V, Current: 383.00mA, Power: 1904.65mW
[1705928963.985345] Voltage: 4.98V, Current: 389.10mA, Power: 1938.84mW
[1705928964.038355] Voltage: 4.99V, Current: 389.90mA, Power: 1944.02mW
[1705928964.0874867] Voltage: 4.99V, Current: 387.90mA, Power: 1934.27mW
[1705928964.1367235] Voltage: 4.98V, Current: 384.50mA, Power: 1915.93mW
[1705928964.1858585] Voltage: 4.99V, Current: 388.00mA, Power: 1935.30mW
[1705928964.2350674] Voltage: 4.99V, Current: 405.20mA, Power: 2020.59mW
[1705928964.288124] Voltage: 4.98V, Current: 387.80mA, Power: 1932.36mW
[1705928964.3373425] Voltage: 4.99V, Current: 389.80mA, Power: 1945.17mW
[1705928964.3864417] Voltage: 4.97V, Current: 408.80mA, Power: 2029.75mW
[1705928964.4356823] Voltage: 4.99V, Current: 392.10mA, Power: 1955.74mW
[1705928964.4895606] Voltage: 4.99V, Current: 403.10mA, Power: 2009.53mW
[1705928964.5381413] Voltage: 4.99V, Current: 392.60mA, Power: 1958.34mW
[1705928964.5873141] Voltage: 4.99V, Current: 412.40mA, Power: 2058.11mW
[1705928964.6363385] Voltage: 4.98V, Current: 385.40mA, Power: 1920.12mW
[1705928964.685667] Voltage: 4.98V, Current: 381.10mA, Power: 1899.24mW
[1705928964.738936] Voltage: 4.99V, Current: 385.80mA, Power: 1923.93mW
[1705928964.787948] Voltage: 4.99V, Current: 380.10mA, Power: 1895.77mW
[1705928964.8371024] Voltage: 4.98V, Current: 374.80mA, Power: 1867.33mW
