[1706438446.6663828] starting program
[1706438446.7142067] Ok
[1706439555.9124236] Little Frequency: 1704000, Big Frequency: 1398000, GPU On: 1, pp1:5, pp2:7, order:B-G-L, s1_input:0.001163, s1_inference:71.004601, s2_input:10.527500, s2_inference:60.200401, s3_input:57.382801, s3_inference:11.891200, fps:14.083400,
[1706439569.3564823] Little Frequency: 1704000, Big Frequency: 1512000, GPU On: 0, pp1:5, pp2:5, order:B-G-L, s2_input:0.000000, s2_inference:0.000000, s1_input:0.001265, s1_inference:55.375401, s3_input:0.027689, s3_inference:104.321999, fps:9.583150,
[1706439582.9340863] Little Frequency: 1608000, Big Frequency: 1608000, GPU On: 1, pp1:2, pp2:7, order:B-G-L, s1_input:0.003033, s1_inference:44.522499, s2_input:0.412817, s2_inference:72.626198, s3_input:57.958500, s3_inference:12.859300, fps:13.691300,
[1706439597.2340367] Little Frequency: 1512000, Big Frequency: 1200000, GPU On: 1, pp1:4, pp2:7, order:B-G-L, s1_input:0.001558, s1_inference:74.724197, s2_input:11.257500, s2_inference:63.229401, s3_input:61.117100, s3_inference:11.595200, fps:13.382300,
[1706439615.3084319] Little Frequency: 1704000, Big Frequency: 1608000, GPU On: 1, pp1:3, pp2:5, order:B-G-L, s1_input:0.001368, s1_inference:44.918400, s2_input:19.509001, s2_inference:24.661800, s3_input:0.028042, s3_inference:104.741997, fps:9.544680,
[1706439634.80394] Little Frequency: 1608000, Big Frequency: 1908000, GPU On: 1, pp1:2, pp2:4, order:B-G-L, s1_input:0.001213, s1_inference:34.844299, s2_input:11.731400, s2_inference:22.505100, s3_input:0.157069, s3_inference:130.460999, fps:7.655920,
[1706439656.88749] Little Frequency: 1800000, Big Frequency: 1398000, GPU On: 1, pp1:1, pp2:3, order:B-G-L, s1_input:0.001578, s1_inference:18.878500, s2_input:0.440472, s2_inference:28.299101, s3_input:0.149838, s3_inference:142.649002, fps:7.002870,
[1706439670.7403407] Little Frequency: 1608000, Big Frequency: 1512000, GPU On: 1, pp1:2, pp2:7, order:B-G-L, s1_input:0.003233, s1_inference:46.387299, s2_input:0.345253, s2_inference:72.680901, s3_input:57.920799, s3_inference:12.809600, fps:13.693700,
[1706439680.8708098] Little Frequency: 667000, Big Frequency: 1800000, GPU On: 1, pp1:5, pp2:7, order:B-G-L, s1_input:0.001156, s1_inference:64.086700, s2_input:5.902400, s2_inference:57.848598, s3_input:44.682999, s3_inference:17.486300, fps:15.603600,
[1706439696.0603566] Little Frequency: 667000, Big Frequency: 1704000, GPU On: 1, pp1:3, pp2:6, order:B-G-L, s1_input:0.001826, s1_inference:48.229000, s2_input:0.384875, s2_inference:58.692200, s3_input:0.024595, s3_inference:85.712799, fps:11.663500,
[1706439708.032294] Little Frequency: 1200000, Big Frequency: 1908000, GPU On: 1, pp1:4, pp2:8, order:B-G-L, s3_input:0.000000, s3_inference:0.000000, s1_input:0.002871, s1_inference:56.170200, s2_input:0.334764, s2_inference:64.780602, fps:15.357400,
[1706439732.6071649] Little Frequency: 1608000, Big Frequency: 667000, GPU On: 1, pp1:2, pp2:4, order:B-G-L, s1_input:0.002022, s1_inference:81.293503, s2_input:45.099602, s2_inference:35.439800, s3_input:0.213565, s3_inference:138.546005, fps:7.206730,
[1706439761.4106207] Little Frequency: 1512000, Big Frequency: 667000, GPU On: 1, pp1:1, pp2:5, order:B-G-L, s1_input:0.002304, s1_inference:35.883499, s2_input:0.788433, s2_inference:47.758400, s3_input:0.038967, s3_inference:126.056000, fps:7.930550,
[1706439771.4342835] Little Frequency: 1800000, Big Frequency: 1800000, GPU On: 1, pp1:5, pp2:8, order:B-G-L, s3_input:0.000000, s3_inference:0.000000, s1_input:0.001581, s1_inference:63.161098, s2_input:2.012690, s2_inference:60.726200, fps:15.832100,
[1706439790.2439797] Little Frequency: 1704000, Big Frequency: 1704000, GPU On: 1, pp1:3, pp2:4, order:B-G-L, s1_input:0.001285, s1_inference:42.481701, s2_input:26.319099, s2_inference:15.344500, s3_input:0.154438, s3_inference:122.815002, fps:8.132100,
[1706439833.2999885] Little Frequency: 500000, Big Frequency: 1800000, GPU On: 1, pp1:2, pp2:4, order:B-G-L, s1_input:0.001386, s1_inference:37.093800, s2_input:13.793100, s2_inference:22.864599, s3_input:0.246149, s3_inference:350.105011, fps:2.854280,
[1706439849.2874737] Little Frequency: 1800000, Big Frequency: 1000000, GPU On: 1, pp1:3, pp2:7, order:B-G-L, s1_input:0.001510, s1_inference:76.405800, s2_input:10.362400, s2_inference:65.843300, s3_input:62.520302, s3_inference:11.767900, fps:13.087800,
[1706439868.5513759] Little Frequency: 1398000, Big Frequency: 1608000, GPU On: 1, pp1:4, pp2:5, order:B-G-L, s1_input:0.001286, s1_inference:50.913799, s2_input:37.904900, s2_inference:12.015800, s3_input:0.028490, s3_inference:117.928001, fps:8.477730,
[1706439898.3356462] Little Frequency: 667000, Big Frequency: 1000000, GPU On: 0, pp1:4, pp2:4, order:B-G-L, s2_input:0.000000, s2_inference:0.000000, s1_input:0.002881, s1_inference:74.351997, s3_input:0.216035, s3_inference:264.242004, fps:3.781310,
[1706439908.4236465] Little Frequency: 1398000, Big Frequency: 1908000, GPU On: 1, pp1:5, pp2:6, order:B-G-L, s1_input:0.001221, s1_inference:53.862000, s2_input:4.270850, s2_inference:48.953201, s3_input:0.053924, s3_inference:61.108002, fps:16.350000,
