[1706280163.7722404] starting program
[1706280163.8198326] Ok
[1706280941.8549812] Little Frequency: 1512000, Big Frequency: 1608000, GPU On: 1, pp1:3, pp2:5, order:B-G-L, s1_input:0.001282, s1_inference:44.686600, s2_input:19.696699, s2_inference:24.673500, s3_input:0.027360, s3_inference:111.582001, fps:8.959800,
[1706280959.282609] Little Frequency: 1398000, Big Frequency: 1200000, GPU On: 1, pp1:6, pp2:7, order:B-G-L, s1_input:0.001372, s1_inference:137.610992, s2_input:108.101997, s2_inference:27.717600, s3_input:127.105003, s3_inference:8.372730, fps:7.266810,
[1706280973.4990761] Little Frequency: 1200000, Big Frequency: 1512000, GPU On: 1, pp1:2, pp2:8, order:B-G-L, s3_input:0.000000, s3_inference:0.000000, s1_input:0.001362, s1_inference:45.609798, s2_input:0.244926, s2_inference:72.861198, fps:13.678800,
[1706280990.9592717] Little Frequency: 1800000, Big Frequency: 1908000, GPU On: 1, pp1:2, pp2:5, order:B-G-L, s1_input:0.001448, s1_inference:35.207001, s2_input:7.503600, s2_inference:27.626400, s3_input:0.026195, s3_inference:103.575996, fps:9.652260,
[1706281005.9460685] Little Frequency: 1608000, Big Frequency: 1512000, GPU On: 1, pp1:6, pp2:7, order:B-G-L, s1_input:0.001315, s1_inference:113.955002, s2_input:84.554802, s2_inference:28.024000, s3_input:104.647003, s3_inference:7.567200, fps:8.775330,
[1706281020.7352257] Little Frequency: 1800000, Big Frequency: 1200000, GPU On: 1, pp1:4, pp2:8, order:B-G-L, s3_input:0.000000, s3_inference:0.000000, s1_input:0.001462, s1_inference:74.470100, s2_input:10.075800, s2_inference:64.328201, fps:13.427900,
[1706281043.5316272] Little Frequency: 1512000, Big Frequency: 1398000, GPU On: 1, pp1:1, pp2:2, order:B-G-L, s1_input:0.001449, s1_inference:18.279400, s2_input:0.504293, s2_inference:19.938601, s3_input:0.096617, s3_inference:184.888000, fps:5.405850,
[1706281078.7877173] Little Frequency: 1512000, Big Frequency: 500000, GPU On: 1, pp1:1, pp2:7, order:B-G-L, s1_input:0.002227, s1_inference:52.055500, s2_input:1.056270, s2_inference:91.585297, s3_input:77.184402, s3_inference:12.733400, fps:10.794300,
[1706281136.059429] Little Frequency: 500000, Big Frequency: 500000, GPU On: 1, pp1:1, pp2:3, order:B-G-L, s1_input:0.002279, s1_inference:47.314201, s2_input:9.214300, s2_inference:37.983700, s3_input:0.308523, s3_inference:417.675995, fps:2.392430,
[1706281172.5879612] Little Frequency: 1512000, Big Frequency: 500000, GPU On: 1, pp1:6, pp2:8, order:B-G-L, s3_input:0.000000, s3_inference:0.000000, s1_input:0.002157, s1_inference:321.501007, s2_input:280.760986, s2_inference:36.084801, fps:3.110390,
[1706281194.644419] Little Frequency: 1608000, Big Frequency: 1200000, GPU On: 1, pp1:1, pp2:5, order:B-G-L, s1_input:0.001891, s1_inference:20.617901, s2_input:0.380840, s2_inference:39.465000, s3_input:0.027965, s3_inference:108.321999, fps:9.229320,
[1706281210.4960213] Little Frequency: 500000, Big Frequency: 1608000, GPU On: 1, pp1:6, pp2:7, order:B-G-L, s1_input:0.001365, s1_inference:108.327003, s2_input:79.520897, s2_inference:27.505501, s3_input:86.932503, s3_inference:19.952801, fps:9.231190,
[1706281226.7080178] Little Frequency: 1000000, Big Frequency: 1000000, GPU On: 1, pp1:4, pp2:7, order:B-G-L, s1_input:0.002931, s1_inference:85.357697, s2_input:22.065001, s2_inference:63.000198, s3_input:72.605003, s3_inference:10.659000, fps:11.715000,
[1706281250.399646] Little Frequency: 1200000, Big Frequency: 1908000, GPU On: 1, pp1:2, pp2:3, order:B-G-L, s1_input:0.001199, s1_inference:32.655602, s2_input:13.232200, s2_inference:19.209600, s3_input:0.145584, s3_inference:186.194000, fps:5.366540,
[1706281293.0006344] Little Frequency: 500000, Big Frequency: 1512000, GPU On: 1, pp1:2, pp2:4, order:B-G-L, s1_input:0.001341, s1_inference:40.981701, s2_input:14.742700, s2_inference:25.957001, s3_input:0.252989, s3_inference:346.341003, fps:2.885220,
